,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
847,drivers/usb/host/ehci-pmcmsp.c,325,7,8,1306157047.0,1578275030.0,1311251442.36,14,,0.0
848,drivers/scsi/qedi/qedi_main.c,2774,15,38,1480522868.0,1560272741.0,1490260742.630137,42,872e192fab64,4.761904761904762
849,arch/mips/pic32/pic32mzda/early_pin.c,267,3,3,1452680139.0,1578275030.0,1454020455.786517,3,,0.0
850,drivers/ide/cmd64x.c,452,4,4,1311247043.0,1578384281.0,1313764847.449115,4,,0.0
851,samples/ftrace/sample-trace-array.c,131,1,1,1574219319.0,1574219319.0,1574219319.0,1,,0.0
852,drivers/video/fbdev/omap2/omapfb/dss/dispc_coefs.c,314,3,3,1449656908.0,1559519090.0,1450054587.8280256,3,,0.0
853,net/dccp/ipv6.c,1170,23,62,1311247043.0,1575444952.0,1342728157.5589743,81,e0aa67709f89,20.98765432098765
854,sound/soc/codecs/rt715-sdw.c,613,4,4,1578622701.0,1580128111.0,1578630059.918434,4,4099c3295e48,50.0
855,drivers/media/pci/cx18/cx18-audio.c,78,2,2,1311247043.0,1558918506.0,1314422318.1666667,3,,0.0
856,drivers/edac/xgene_edac.c,2045,5,10,1432287179.0,1558252303.0,1438300841.8244498,13,,0.0
857,tools/perf/arch/x86/annotate/instructions.c,206,4,6,1479357111.0,1569829692.0,1501538359.1844661,6,,0.0
858,drivers/scsi/fnic/vnic_wq.c,246,2,2,1311247043.0,1547794302.0,1374710941.7560976,2,,0.0
859,arch/powerpc/platforms/83xx/mpc832x_rdb.c,228,10,11,1311247043.0,1574927718.0,1318016252.8991227,14,f29bb7861a51,7.142857142857142
860,net/batman-adv/fragmentation.c,548,8,40,1369299182.0,1577808001.0,1398515537.4744525,52,d7d8bbb40a5b,13.461538461538462
861,arch/powerpc/platforms/40x/virtex.c,54,4,4,1311247043.0,1479096831.0,1319088067.9074075,3,,0.0
862,drivers/gpu/drm/panfrost/panfrost_gem.c,287,4,11,1536560878.0,1579090554.0,1563606757.4216027,15,bdefca2d8dc0,40.0
863,drivers/usb/gadget/udc/m66592-udc.c,1698,21,30,1307354793.0,1509679710.0,1310811344.7550058,15,5feb5d200349,6.666666666666667
864,arch/s390/mm/fault.c,818,24,62,1306662216.0,1564357184.0,1377310076.3117359,85,962f0af83c23,3.5294117647058822
865,drivers/hid/usbhid/hid-pidff.c,1323,5,7,1311247043.0,1558918505.0,1313981274.5396826,6,,0.0
