lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,fixes_percent
317,11,17,1305014297,1559797856,1325531454,19,0
744,2,3,1314547535,1558918506,1314978760,5,0
51,1,1,1525783187,1525783187,1525783187,1,0
1855,7,7,1480950436,1578275030,1481275875,8,0
1057,30,97,1330919367,1571996535,1473776772,131,11.45038168
172,12,13,1311247043,1565489116,1355365090,14,7.142857143
39,1,1,1534859656,1534859656,1534859656,1,0
45,1,1,1548401083,1548401083,1548401083,1,0
111,8,10,1391751392,1569484261,1451745619,13,7.692307692
98,2,2,1311247043,1509520077,1313270237,2,0
310,17,21,1346813833,1579590578,1434121689,32,0
66,4,4,1311247043,1514206473,1340670995,4,0
151,5,7,1442894164,1562881616,1465507194,8,0
419,6,10,1311247043,1579954820,1390433076,11,0
4267,18,84,1311247043,1583993835,1358676424,103,1.941747573
527,3,3,1311247043,1558918501,1316910913,4,0
936,14,25,1311374584,1558918506,1319582947,31,0
465,3,4,1340856733,1515019648,1341574217,7,0
539,8,13,1412313867,1559614293,1420238277,14,0
135,1,1,1554122419,1554122419,1554122419,1,0
1136,12,30,1311247043,1575870318,1333347664,40,5
36,1,2,1535979454,1535979455,1535979454,2,0
534,20,43,1311247043,1574386475,1457321762,62,8.064516129
162,4,4,1432610160,1572422924,1438106405,4,0
178,3,4,1450283982,1555152852,1451267364,5,0
126,1,2,1579077759,1579247319,1579081796,2,0
1734,11,29,1491554709,1578402365,1513681464,41,4.87804878
75,5,5,1307691021,1559614293,1319885495,5,0
875,4,54,1424399155,1571748918,1464009200,68,2.941176471
1714,26,73,1310015944,1575005981,1335819643,61,4.918032787
535,10,34,1311247043,1559959361,1371753216,78,0
439,7,10,1311247043,1546913636,1313625146,10,0
1343,8,19,1311247043,1558315142,1314339312,15,0
264,11,13,1426847874,1567758652,1438551073,16,6.25
77,3,8,1308546031,1576486685,1431352353,29,0
1183,1,1,1571650874,1571650874,1571650874,1,0
20,4,6,1311247043,1513193017,1337318622,4,0
381,10,27,1305014297,1575941648,1336210688,45,2.222222222
691,3,5,1332944827,1437121430,1333290494,12,0
615,12,33,1311247043,1559008638,1354457174,42,4.761904762
2464,34,58,1311247043,1576352965,1343391542,70,18.57142857
234,9,20,1311247043,1559614293,1336163220,23,0
1114,7,26,1311247043,1570402360,1320161402,31,0
355,5,7,1311247043,1558918501,1316194957,8,0
782,12,47,1311247043,1576909014,1419409541,63,14.28571429
780,18,98,1384096399,1575889385,1457146393,139,2.877697842
368,1,1,1401292333,1401292333,1401292333,1,0
753,11,96,1306662216,1577808001,1396536985,164,1.219512195
593,8,27,1305655598,1558252310,1331377577,5,20
82,2,5,1508833355,1573120991,1525790079,7,0
305,8,14,1336707414,1559204292,1428064033,17,0
122,4,8,1480469024,1569829692,1509666365,8,12.5
357,4,5,1449656908,1559614293,1450402515,5,0
95,4,6,1307345624,1558918505,1319250305,3,0
285,4,7,1462429303,1572538045,1476933313,9,0
115,5,11,1300781697,1559614293,1322326193,13,0
210,2,3,1538538107,1554792783,1538925123,5,0
209,6,7,1311247043,1574136336,1329521908,1,0
36,3,3,1310008750,1545928309,1327200133,3,0
307,3,5,1510543653,1558918501,1511698858,5,20
300,11,14,1330425317,1559009404,1335121798,20,0
878,20,46,1306662216,1558400803,1340006046,60,0
113,1,1,1516218538,1516218538,1516218538,1,0
362,10,10,1311247043,1573399289,1378136748,9,11.11111111
248,5,9,1423115089,1559614293,1434848074,9,11.11111111
95,3,3,1305014297,1559798072,1344001523,4,0
56,2,5,1362373281,1513615065,1397629795,9,0
118,4,5,1461397228,1571064014,1463905219,5,20
574,2,2,1311247043,1316597450,1311433468,1,0
2223,22,60,1343693782,1559614293,1396905371,74,8.108108108
152,2,4,1427878965,1559614293,1430991219,6,0
2246,11,52,1521503893,1580923213,1537881175,58,3.448275862
308,17,25,1311247043,1576983069,1357940171,56,10.71428571
5160,22,60,1245767646,1576486301,1334772873,40,7.5
795,13,21,1307608381,1558918501,1339392771,25,0
94,3,6,1376366214,1565489192,1386855280,9,0
192,10,11,1305725404,1559614293,1314337114,10,0
92,4,4,1306458745,1558242500,1315750401,3,0
235,4,6,1308336712,1559614293,1332447028,5,40
239,1,1,1579073380,1579073380,1579073380,1,0
1352,12,80,1351791609,1576463509,1423732507,105,14.28571429
216,3,5,1490268868,1561541589,1492731436,5,0
